id	property_name	location	phone	map_link	property_type	furnishing	private_price	single_price	double_price	triple_price	starting_price	listing_type	is_available	created_at	updated_at	description	features	slug	is_deleted	avg_rating	review_count	city	last_verified_at	last_booked_at	last_review_at
80	New living Homes	Bellandur, Bangalore	918150099911	NULL	1BHK	fully_furnished	NULL	NULL	NULL	NULL	34999.00	rent	1	2026-03-20 05:42:18	2026-05-22 07:14:21	NULL	[cctv, tv, refrigerator, washing machine, geyser, bike parking, terrace, common kitchen, cupboards, attached bathroom, furniture, work desk, couple friendly]	NULL	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-09 05:28:53
82	Heaven Living New Homes	Munnekollal	0999999999	NULL	1RK	fully_furnished	NULL	NULL	NULL	NULL	15999.00	rent	1	2026-03-20 05:42:18	2026-05-22 07:14:21	NULL	[cctv, tv, geyser, refrigerator, washing machine, bike parking, common kitchen, terrace, cupboards, furniture, attached bathroom, couple friendly, work desk]	NULL	0	NULL	0	bangalore	2026-05-16 11:07:38	NULL	NULL
83	SGR Enclave	Sarjapur	9999999999	NULL	2BHK	fully_furnished	NULL	NULL	NULL	NULL	33999.00	rent	1	2026-03-20 05:42:18	2026-05-22 07:14:21	NULL	[cctv, geyser, tv, refrigerator, washing machine, bike parking, terrace, balcony, common kitchen, cupboards, attached bathroom, furniture, work desk, couple friendly]	NULL	0	0.00	0	bangalore	2026-04-18 10:23:52	NULL	NULL
84	Mari Gold	BTM Layout	0999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	13099.00	rent	1	2026-03-20 05:42:19	2026-05-22 07:14:21	NULL	[power_backup, wifi, housekeeping, food, security, cctv, tv, geyser, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, cupboards, attached bathroom, furniture, work desk, couple friendly]	NULL	0	NULL	0	bangalore	2026-04-22 07:03:17	NULL	NULL
85	Nesto Aloha Coliving	HSR Layout, Bangalore	0999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	8000.00	rent	1	2026-03-20 05:42:19	2026-05-22 07:14:21	NULL	[wifi, food, power_backup, security, cctv, tv, geyser, refrigerator, washing machine, fingerprint, bike parking, terrace, common kitchen, lift, cupboards, furniture, attached bathroom, work desk, couple friendly]	NULL	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
86	RoyVibe Living	BTM/Koramangala	7777777777	NULL	1BHK	fully_furnished	NULL	NULL	NULL	NULL	25000.00	rent	1	2026-03-20 05:42:19	2026-05-22 07:14:21	NULL	[power_backup, cctv, tv, refrigerator, washing machine, geyser, bike parking, balcony, terrace, common kitchen, cupboards, attached bathroom, furniture, work desk, couple friendly]	NULL	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
87	Test Property	Test Location	9876543210	NULL	PG	unfurnished	NULL	NULL	NULL	NULL	NULL	rent	1	2026-03-20 05:42:19	2026-05-22 07:14:21	NULL	NULL	NULL	1	NULL	0	NULL	2026-04-07 10:01:20	NULL	NULL
88	Test Property 1	Test Location	9876543210	NULL	PG	unfurnished	NULL	NULL	NULL	NULL	NULL	rent	1	2026-03-20 05:42:19	2026-05-22 07:14:21	NULL	NULL	NULL	1	NULL	0	NULL	2026-04-07 10:01:21	NULL	NULL
90	Test Property 1	Test Location	9876543210	NULL	PG	unfurnished	NULL	NULL	NULL	NULL	NULL	rent	1	2026-03-20 05:42:19	2026-05-22 07:14:21	NULL	NULL	NULL	1	NULL	0	NULL	2026-04-07 10:01:21	NULL	NULL
91	Test Property 1	Test Location	9876543210	NULL	PG	unfurnished	NULL	NULL	NULL	NULL	NULL	rent	1	2026-03-20 05:42:19	2026-05-22 07:14:21	NULL	NULL	NULL	1	NULL	0	NULL	2026-04-07 10:01:21	NULL	NULL
93	Vasantha Homes	BTM Layout	9999999999	NULL	1BHK	fully_furnished	NULL	NULL	NULL	NULL	25000.00	rent	1	2026-03-20 05:42:20	2026-05-22 07:14:21	NULL	[cctv, geyser, tv, refrigerator, security, bike parking, terrace, common kitchen, attached bathroom, cupboards, furniture, couple friendly, work desk]	NULL	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-09 05:00:47
94	Vasantha Coliving	BTM Layout	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	9000.00	rent	1	2026-03-20 05:42:20	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, security, cctv, tv, refrigerator, washing machine, geyser, bike parking, terrace, lift, common kitchen, cupboards, study table, couple friendly]	NULL	0	NULL	0	bangalore	2026-04-22 07:03:17	NULL	NULL
95	Vow Coliving	Kundalahalli	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	11500.00	rent	1	2026-03-20 05:42:20	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, security, cctv, fingerprint, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, balcony, cupboards, attached bathroom, work desk, couple friendly]	NULL	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-07 10:05:48
96	Signature Luxury Colive	Bellandur	0999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	15000.00	rent	1	2026-03-20 05:42:23	2026-05-22 07:14:21	NULL	[wifi, power_backup, housekeeping, food, security, cctv, fingerprint, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, cupboards, furniture, attached bathroom, work desk, couple friendly]	NULL	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-07 10:06:55
97	Elite Homes	Marathahalli	9999999999	NULL	1BHK	fully_furnished	NULL	NULL	NULL	NULL	26000.00	rent	1	2026-03-20 05:42:23	2026-05-22 07:14:21	NULL	[power_backup, cctv, tv, refrigerator, geyser, bike parking, terrace, common kitchen, balcony, lift, furniture, cupboards, attached bathroom, couple friendly, work desk]	NULL	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-09 05:02:32
98	Lavish Homes	Nallurhalli	9999999999	NULL	1BHK	fully_furnished	NULL	NULL	NULL	NULL	23999.00	rent	1	2026-03-20 05:42:23	2026-05-22 07:14:21	NULL	[wifi, cctv, tv, refrigerator, washing machine, bike parking, terrace, common kitchen, cupboards, furniture, couple friendly, attached bathroom]	NULL	0	0.00	0	bangalore	2026-04-22 07:03:17	NULL	NULL
99	Atlas Coliving	Koramangala	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	10000.00	rent	1	2026-03-20 05:42:24	2026-05-22 07:14:21	NULL	[power_backup, wifi, food, housekeeping, security, cctv, refrigerator, washing machine, geyser, bike parking, terrace, common kitchen, lift, cupboards, attached bathroom, furniture, work desk, couple friendly]	NULL	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
100	Ronvix	BTM	9999999999	NULL	PG	semi_furnished	NULL	NULL	NULL	NULL	8500.00	rent	1	2026-03-20 05:42:24	2026-05-22 07:14:21	NULL	[wifi, power_backup, housekeeping, cctv, tv, geyser, refrigerator, bike parking, terrace, lift, common kitchen, balcony, cupboards, attached bathroom, furniture, work desk, couple friendly]	NULL	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-09 05:25:28
101	Snugin Coliving	Bellandur	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	13000.00	rent	1	2026-03-20 05:42:24	2026-05-22 07:14:21	NULL	[wifi, power_backup, housekeeping, food, security, cctv, tv, geyser, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, cupboards, attached bathroom, furniture, work desk, couple friendly, gym]	NULL	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
102	SLC BHK 2	BTM Layout	9999999999	NULL	1BHK	fully_furnished	NULL	NULL	NULL	NULL	24000.00	rent	1	2026-03-20 05:42:30	2026-05-22 07:14:21	NULL	[cctv, tv, refrigerator, bike parking, common kitchen, balcony, terrace, furniture, cupboards, attached bathroom, work desk, couple friendly, geyser]	NULL	0	NULL	0	bangalore	2026-04-22 07:03:17	NULL	NULL
103	Flux Coliving	Marathahalli	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	10000.00	rent	1	2026-03-20 05:42:30	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, security, cctv, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, cupboards, attached bathroom, furniture, balcony, work desk, couple friendly]	NULL	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-03-24 12:06:33
104	Orion Coliving	Marathahalli	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	13000.00	rent	1	2026-03-20 05:42:31	2026-05-22 07:14:21	NULL	[wifi, power_backup, housekeeping, food, security, cctv, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, balcony, cupboards, furniture, attached bathroom, work desk, couple friendly]	NULL	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-03-24 12:10:26
105	Flokq coliving	Marathahalli	0999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	11000.00	rent	1	2026-03-20 05:42:31	2026-05-22 07:14:21	NULL	[wifi, power_backup, housekeeping, food, cctv, security, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, furniture, cupboards, attached bathroom, work desk, couple friendly, fingerprint]	NULL	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-03-24 12:10:55
106	Cozy Ladies PG	Indiranagar	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	9000.00	rent	1	2026-03-20 05:42:32	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, security, fingerprint, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, cupboards, attached bathroom, furniture, work desk]	NULL	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
107	Cozy Rooms Gents PG	Indiranagar	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	9000.00	rent	1	2026-03-20 05:42:32	2026-05-22 07:14:21	NULL	[power_backup, wifi, housekeeping, food, security, cctv, geyser, tv, refrigerator, washing machine, bike parking, lift, common kitchen, terrace, cupboards, furniture, attached bathroom, work desk]	NULL	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
108	NSR Luxury Coliving PG	New Tippasandra	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	11500.00	rent	1	2026-03-20 05:42:32	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, security, cctv, geyser, tv, refrigerator, bike parking, terrace, lift, common kitchen, cupboards, furniture, attached bathroom, work desk, couple friendly]	NULL	0	NULL	0	bangalore	2026-05-16 11:07:38	NULL	NULL
109	Cozeevo Coliving PG	Brookefield	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	14000.00	rent	1	2026-03-20 05:42:32	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, security, cctv, fingerprint, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, cupboards, furniture, attached bathroom, work desk, couple friendly]	NULL	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-09 05:00:12
110	Flock 9 Coliving	Thubarahalli	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	9000.00	rent	1	2026-03-20 19:45:44	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, security, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, cupboards, attached bathroom, furniture, work desk, couple friendly]	flock-9-coliving	0	NULL	0	bangalore	2026-04-22 07:03:17	NULL	NULL
111	Arcade INN	AECS	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	9000.00	rent	1	2026-03-20 19:48:03	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, security, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, study table, couple friendly]	arcade-inn	0	NULL	0	bangalore	2026-05-16 11:07:38	NULL	NULL
112	Premium Urban living	Mahadevapura	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	13999.00	rent	1	2026-03-20 19:57:09	2026-05-22 07:14:21	NULL	[power_backup, cctv, tv, geyser, refrigerator, bike parking, terrace, common kitchen, balcony, cupboards, attached bathroom, study table, furniture, couple friendly]	premium-urban-living	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-09 05:30:18
113	Haveli Coliving	Munnekollal	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	12500.00	rent	1	2026-03-20 20:00:22	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, security, cctv, geyser, tv, refrigerator, washing machine, bike parking, terrace, common kitchen, lift, attached bathroom, cupboards, furniture, study table, couple friendly]	haveli-coliving	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-09 05:30:58
114	Connect Coliving 2	Kundalahalli	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	16999.00	rent	1	2026-03-20 20:03:55	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, security, cctv, geyser, tv, refrigerator, washing machine, bike parking, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	connect-coliving-2	0	NULL	0	bangalore	2026-04-22 07:03:17	NULL	NULL
115	Pro Colive PG	Hsr layout	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	16000.00	rent	1	2026-03-20 20:06:59	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, security, tv, geyser, refrigerator, fingerprint, washing machine, bike parking, gym, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, study table, couple friendly]	pro-colive-pg	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
116	Avinya Colive	Whitefield	9999999999	NULL	PG	semi_furnished	NULL	NULL	NULL	NULL	10999.00	rent	1	2026-03-20 20:09:46	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, security, cctv, geyser, tv, refrigerator, washing machine, gym, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	avinya-colive	0	NULL	0	bangalore	2026-04-18 10:23:52	NULL	NULL
117	DVR Coliving	Munnekollal	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	11999.00	rent	1	2026-03-21 04:30:25	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, security, cctv, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	dvr-coliving	1	NULL	0	NULL	2026-04-07 10:01:26	NULL	NULL
118	Gina Artize Bommasandra	Bommasandra	9999999999	NULL	1BHK	fully_furnished	NULL	NULL	NULL	NULL	9999.00	rent	1	2026-03-21 04:36:26	2026-05-22 07:14:21	NULL	[power_backup, cctv, security, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, cupboards, attached bathroom, furniture, work desk, couple friendly, common kitchen]	gina-artize-bommasandra	0	NULL	0	bangalore	2026-05-16 11:07:38	NULL	NULL
119	Flechazo Coliving	Kadubeesanahalli	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	9999.00	rent	1	2026-03-21 04:40:48	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, security, cctv, fingerprint, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, work desk, couple friendly]	flechazo-coliving	0	NULL	0	bangalore	2026-04-22 07:03:17	NULL	NULL
120	Koinn Coliving	Whitefield	9999999999	NULL	PG	fully_furnished	NULL	NULL	NULL	NULL	9000.00	rent	1	2026-03-21 04:44:33	2026-05-22 07:14:21	NULL	[wifi, power_backup, food, housekeeping, cctv, security, geyser, tv, refrigerator, washing machine, bike parking, terrace, lift, common kitchen, attached bathroom, cupboards, furniture, study table, couple friendly]	koinn-coliving	0	5.00	1	bangalore	2026-05-22 07:14:21	NULL	2026-04-07 10:05:02
